id,parent_label,subtab,back_pic,label_name,subtab_name,grid,index,level_start,level_end,tasktypes,n1,n2,n3,n4,txt,itemid,itemname,itemnumber,cost_item1,cost_num1,diam_value,gold_value,discount,purchase_type,purchase_num
110101,1,1,1001,试炼之塔,每日商店,1,1,0,111021,81,30,0,0,0,通过试炼之塔第30层,30010001,少量勇士经验,6,91000002,17400,162,81000,9,1,1
110102,1,1,1001,试炼之塔,每日商店,1,2,111021,0,81,30,0,0,0,通过试炼之塔第30层,30010003,巨额勇士经验,1,91000002,23040,320,160000,6,1,1
110201,1,1,1001,试炼之塔,每日商店,2,1,0,110821,81,60,0,0,0,通过试炼之塔第60层,13000001,稀有勇士魂石,60,91000002,25920,240,120000,9,1,1
110202,1,1,1001,试炼之塔,每日商店,2,2,110821,0,81,60,0,0,0,通过试炼之塔第60层,13000001,稀有勇士魂石,60,91000002,17280,240,120000,6,1,1
110301,1,1,1001,试炼之塔,每日商店,3,1,0,111021,81,80,0,0,0,通过试炼之塔第80层,13000002,精英勇士魂石,30,91000002,97200,900,450000,9,1,2
110302,1,1,1001,试炼之塔,每日商店,3,2,111021,0,81,80,0,0,0,通过试炼之塔第80层,13000002,精英勇士魂石,60,91000002,129600,1800,900000,6,1,2
110401,1,1,1001,试炼之塔,每日商店,4,1,0,0,81,100,0,0,0,通过试炼之塔第100层,91000056,希望泉水,50,91000002,54000,500,250000,9,1,1
110501,1,1,1001,试炼之塔,每日商店,5,1,0,0,81,120,0,0,0,通过试炼之塔第120层,40000003,低级特殊宝石,5,91000002,51840,480,240000,9,1,1
110601,1,1,1001,试炼之塔,每日商店,6,1,0,0,81,200,0,0,0,通过试炼之塔第200层,40000004,高级特殊宝石,5,91000002,84240,780,390000,9,1,1
120101,1,2,1001,试炼之塔,每周商店,1,1,0,0,83,1,10,0,0,四族高塔均通过10层,42010001,普通召唤卷,10,91000002,25200,3000,1500000,7,2,2
120201,1,2,1001,试炼之塔,每周商店,2,1,0,0,83,1,30,0,0,四族高塔均通过30层,42010002,阵营召唤卷,10,91000002,50400,6000,3000000,7,2,2
120301,1,2,1001,试炼之塔,每周商店,3,1,0,0,83,1,50,0,0,四族高塔均通过50层,42010003,占卜卷,10,91000002,420000,5000,2500000,7,2,2
120401,1,2,1001,试炼之塔,每周商店,4,1,0,0,83,1,80,0,0,四族高塔均通过80层,82000001,雷鸣锻造卷,1,91000002,126000,1500,750000,7,2,2
120501,1,2,1001,试炼之塔,每周商店,5,1,0,0,81,100,0,0,0,通过试炼之塔第100层,40000011,黎明之力,3,91000002,63000,750,375000,7,2,2
130101,1,3,1001,试炼之塔,试炼奖励,1,1,0,0,81,40,0,0,0,通过试炼之塔第40层,42010001,普通召唤卷,10,91000002,21600,3000,1500000,6,3,1
130201,1,3,1001,试炼之塔,试炼奖励,2,1,0,0,81,40,0,0,0,通过试炼之塔第40层,42010002,阵营召唤卷,10,91000002,43200,6000,3000000,6,3,1
130301,1,3,1001,试炼之塔,试炼奖励,3,1,0,0,81,80,0,0,0,通过试炼之塔第80层,42010001,普通召唤卷,10,91000002,21600,3000,1500000,6,3,1
130401,1,3,1001,试炼之塔,试炼奖励,4,1,0,0,81,80,0,0,0,通过试炼之塔第80层,42010002,阵营召唤卷,10,91000002,43200,6000,3000000,6,3,1
130501,1,3,1001,试炼之塔,试炼奖励,5,1,0,0,81,100,0,0,0,通过试炼之塔第100层,42010003,占卜卷,10,91000002,360000,5000,2500000,6,3,1
130601,1,3,1001,试炼之塔,试炼奖励,6,1,0,0,81,160,0,0,0,通过试炼之塔第160层,30020049,传说武器箱,1,91000002,261840,3118,1559000,7,3,1
130701,1,3,1001,试炼之塔,试炼奖励,7,1,0,0,81,160,0,0,0,通过试炼之塔第160层,30020050,传说头盔箱,1,91000002,261840,3118,1559000,7,3,1
130801,1,3,1001,试炼之塔,试炼奖励,8,1,0,0,81,160,0,0,0,通过试炼之塔第160层,30020051,传说战甲箱,1,91000002,261840,3118,1559000,7,3,1
130901,1,3,1001,试炼之塔,试炼奖励,9,1,0,0,81,160,0,0,0,通过试炼之塔第160层,30020052,传说战靴箱,1,91000002,261840,3118,1559000,7,3,1
131001,1,3,1001,试炼之塔,试炼奖励,10,1,0,0,81,250,0,0,0,通过试炼之塔第250层,30200101,光暗自选卡,1,91000002,720000,7500,3750000,8,3,1
210101,2,1,1002,铸石星域,每日商店,1,1,0,110640,221,1,1001,60,0,铸时星域1章进度60%,91000044,魔粉,100,91000002,10800,100,50000,9,1,1
210102,2,1,1002,铸石星域,每日商店,1,2,110640,110901,221,1,1001,60,0,铸时星域1章进度60%,91000044,魔粉,200,91000002,21600,200,100000,9,1,1
210103,2,1,1002,铸石星域,每日商店,1,3,110901,111021,221,1,1001,60,0,铸时星域1章进度60%,91000044,魔粉,300,91000002,32400,300,150000,9,1,1
210104,2,1,1002,铸石星域,每日商店,1,4,111021,111240,221,1,1001,60,0,铸时星域1章进度60%,91000044,魔粉,400,91000002,43200,400,200000,9,1,1
210105,2,1,1002,铸石星域,每日商店,1,5,111240,112560,221,1,1001,60,0,铸时星域1章进度60%,91000044,魔粉,500,91000002,54000,500,250000,9,1,1
210106,2,1,1002,铸石星域,每日商店,1,6,112560,0,221,1,1001,60,0,铸时星域1章进度60%,91000044,魔粉,1000,91000002,108000,1000,500000,9,1,1
210201,2,1,1002,铸石星域,每日商店,2,1,0,111021,221,1,1003,60,0,铸时星域3章进度60%,13000002,精英勇士魂石,30,91000002,97200,900,450000,9,1,2
210202,2,1,1002,铸石星域,每日商店,2,2,111021,0,221,1,1003,60,0,铸时星域3章进度60%,13000002,精英勇士魂石,60,91000002,129600,1800,900000,6,1,2
210301,2,1,1002,铸石星域,每日商店,3,1,0,110401,221,1,1005,60,0,铸时星域5章进度60%,81000002,白银锻造币,1,91000002,21600,200,100000,9,1,1
210302,2,1,1002,铸石星域,每日商店,3,2,110401,110511,221,1,1005,60,0,铸时星域5章进度60%,81000002,白银锻造币,2,91000002,43200,400,200000,9,1,1
210303,2,1,1002,铸石星域,每日商店,3,3,110511,110640,221,1,1005,60,0,铸时星域5章进度60%,81000002,白银锻造币,3,91000002,64800,600,300000,9,1,1
210304,2,1,1002,铸石星域,每日商店,3,4,110640,110901,221,1,1005,60,0,铸时星域5章进度60%,81000002,白银锻造币,4,91000002,86400,800,400000,9,1,1
210305,2,1,1002,铸石星域,每日商店,3,5,110901,111021,221,1,1005,60,0,铸时星域5章进度60%,81000002,白银锻造币,6,91000002,115200,1200,600000,8,1,1
210306,2,1,1002,铸石星域,每日商店,3,6,111021,111240,221,1,1005,60,0,铸时星域5章进度60%,81000002,白银锻造币,8,91000002,153600,1600,800000,8,1,1
210307,2,1,1002,铸石星域,每日商店,3,7,111240,111740,221,1,1005,60,0,铸时星域5章进度60%,81000002,白银锻造币,10,91000002,144000,2000,1000000,6,1,1
210308,2,1,1002,铸石星域,每日商店,3,8,111740,0,221,1,1005,60,0,铸时星域5章进度60%,81000002,白银锻造币,12,91000002,172800,2400,1200000,6,1,1
210401,2,1,1002,铸石星域,每日商店,4,1,0,0,221,1,1006,60,0,铸时星域6章进度60%,30000003,一大箱金币,1,91000002,8640,80,40000,9,1,1
210501,2,1,1002,铸石星域,每日商店,5,1,0,0,221,1,1008,60,0,铸时星域8章进度60%,30020002,大量魔粉,2,91000002,28800,300,150000,8,1,2
210601,2,1,1002,铸石星域,每日商店,6,1,0,0,221,1,1010,60,0,铸时星域10章进度60%,30020008,强化宝石宝箱,5,91000002,106920,990,495000,9,1,2
210701,2,1,1002,铸石星域,每日商店,7,1,0,0,221,1,1012,60,0,铸时星域12章进度60%,30020045,神器材料自选宝箱,1,91000002,27000,250,125000,9,1,1
220101,2,2,1002,铸石星域,每周商店,1,1,0,0,221,1,1001,100,0,铸时星域1章进度100%,40000012,贤王神石,4,91000002,96000,1000,500000,8,2,2
220201,2,2,1002,铸石星域,每周商店,2,1,0,0,221,1,1003,100,0,铸时星域3章进度100%,40000013,光辉神石,4,91000002,96000,1000,500000,8,2,2
220301,2,2,1002,铸石星域,每周商店,3,1,0,0,221,1,1004,100,0,铸时星域4章进度100%,40000014,神圣神石,4,91000002,96000,1000,500000,8,2,2
220401,2,2,1002,铸石星域,每周商店,4,1,0,0,221,1,1006,80,0,铸时星域6章进度80%,40000015,黎明神石,4,91000002,96000,1000,500000,8,2,2
220501,2,2,1002,铸石星域,每周商店,5,1,0,0,221,1,1009,80,0,铸时星域9章进度80%,40000016,圣光神石,4,91000002,96000,1000,500000,8,2,2
220601,2,2,1002,铸石星域,每周商店,6,1,0,0,221,1,1011,80,0,铸时星域11章进度80%,40000017,古代神石,4,91000002,96000,1000,500000,8,2,2
220701,2,2,1002,铸石星域,每周商店,7,1,0,0,221,1,1012,80,0,铸时星域12章进度80%,40000018,真神神石,4,91000002,96000,1000,500000,8,2,1
230101,2,3,1002,铸石星域,星域奖励,1,1,0,0,221,1,1001,100,0,铸时星域1章进度100%,40000012,贤王神石,20,91000002,420000,5000,2500000,7,3,1
230201,2,3,1002,铸石星域,星域奖励,2,1,0,0,221,1,1003,100,0,铸时星域3章进度100%,40000013,光辉神石,20,91000002,420000,5000,2500000,7,3,1
230301,2,3,1002,铸石星域,星域奖励,3,1,0,0,221,1,1004,100,0,铸时星域4章进度100%,40000014,神圣神石,20,91000002,420000,5000,2500000,7,3,1
230401,2,3,1002,铸石星域,星域奖励,4,1,0,0,221,1,1006,80,0,铸时星域6章进度80%,40000015,黎明神石,20,91000002,420000,5000,2500000,7,3,1
230501,2,3,1002,铸石星域,星域奖励,5,1,0,0,221,1,1009,80,0,铸时星域9章进度80%,40000016,圣光神石,20,91000002,420000,5000,2500000,7,3,1
230601,2,3,1002,铸石星域,星域奖励,6,1,0,0,221,1,1011,80,0,铸时星域11章进度80%,40000017,古代神石,20,91000002,420000,5000,2500000,7,3,1
230701,2,3,1002,铸石星域,星域奖励,7,1,0,0,221,1,1012,80,0,铸时星域12章进度80%,40000018,真神神石,20,91000002,420000,5000,2500000,7,3,1
